,Lat,Lng,City,CityClean,Country,Temperature,Latitude,Longitude,Percent Humidity,Percent Cloudiness,Wind Speed (mph)
0,87.06266286097389,158.30375570406494,Cherskiy,cherskiy,RU,-5.18,68.75,161.3,94.0,0.0,6.31
1,-14.396816328931266,-113.91761576407882,Rikitea,rikitea,PF,78.53,-23.12,-134.97,76.0,11.0,9.26
2,30.05583588308714,105.3251329411031,Anju,anju,KP,49.55,39.62,125.66,47.0,73.0,2.06
3,-37.55901953539462,-46.400364619356395,Rio Grande,rio%20grande,BR,78.8,-32.03,-52.1,47.0,20.0,6.93
4,-64.65862083957008,151.79628119684622,Hobart,hobart,AU,42.67,-42.88,147.33,93.0,0.0,5.82
5,66.04794389404213,108.54380067270927,Aykhal,aykhal,RU,19.4,65.95,111.51,44.0,0.0,8.95
6,-38.943687045676455,31.497819280438392,East London,east%20london,ZA,71.6,-33.02,27.91,88.0,0.0,6.93
7,70.0573337895874,25.602622866832093,Karasjok,karasjok,NO,41.0,69.47,25.52,90.0,75.0,18.34
8,25.30786429528567,-93.56721849722878,Brownsville,brownsville,US,81.91,25.91,-97.49,23.0,40.0,5.82
9,-25.139872103550758,174.53501934463128,Vao,vao,EE,47.03,59.1,26.19,57.0,75.0,5.86
10,-15.5481524071742,160.2698665162397,Kirakira,kirakira,SB,79.97,-10.46,161.92,82.0,100.0,2.8
11,84.2992324801383,66.41765735067736,amderma,amderma,,,,,,,
12,34.354174049282506,89.31795309428134,Lasa,lasa,CY,59.63,34.92,32.53,72.0,40.0,11.41
13,16.138541215911815,-172.9748340309703,Kapaa,kapaa,US,76.37,22.08,-159.32,65.0,40.0,16.11
14,-57.19420000564721,-147.80983145970208,Mataura,mataura,NZ,51.01,-46.19,168.86,97.0,100.0,2.82
15,-10.698449442422302,25.66720613630207,Kambove,kambove,CD,63.23,-10.88,26.6,97.0,55.0,4.38
16,63.21829250268871,155.97250403169818,Omsukchan,omsukchan,RU,23.27,62.53,155.8,88.0,81.0,9.06
17,-76.11917343358878,168.6892438100146,Bluff,bluff,AU,66.11,-23.58,149.07,87.0,2.0,11.79
18,-55.69780994885912,20.159310806690797,Bredasdorp,bredasdorp,ZA,62.94,-34.53,20.04,68.0,63.0,16.11
19,27.963659134125137,50.70245928747204,khormuj,khormuj,,,,,,,
20,-40.25992893686405,169.92231083298003,Westport,westport,IE,57.54,53.8,-9.52,72.0,0.0,3.36
23,55.32791495330997,122.10353765950384,Yerofey Pavlovich,yerofey%20pavlovich,RU,33.53,53.97,121.97,72.0,94.0,4.07
24,74.98977390059292,46.02859654741104,belushya guba,belushya%20guba,,,,,,,
25,84.62862384115414,-32.77673501089984,illoqqortoormiut,illoqqortoormiut,,,,,,,
26,82.91018501195464,119.79528186901626,Saskylakh,saskylakh,RU,-5.72,71.97,114.09,94.0,36.0,3.27
27,-36.014924569054344,9.818119165415425,Saldanha,saldanha,PT,60.53,41.42,-6.55,61.0,88.0,14.27
28,-14.417849051757571,-66.83490312809147,Santa Rosa,santa%20rosa,AR,85.01,-36.62,-64.29,12.0,3.0,12.86
29,-50.24436400407111,71.09186795332064,Souillac,souillac,FR,70.7,45.6,-0.6,31.0,0.0,4.7
31,67.00536561692942,166.89966888047218,Bilibino,bilibino,RU,-0.5,68.06,166.44,97.0,81.0,7.07
32,-59.38321766374663,-66.77773355785249,Ushuaia,ushuaia,AR,46.4,-54.81,-68.31,81.0,75.0,34.45
33,50.0408180723218,-32.436389961895486,Lagoa,lagoa,PT,57.9,37.14,-8.45,77.0,20.0,8.05
34,38.47105178910846,11.538817964644068,Trapani,trapani,IT,59.43,38.02,12.54,82.0,0.0,4.7
35,61.786922064155135,-102.97789909130604,La Ronge,la%20ronge,CA,51.8,55.1,-105.3,62.0,75.0,8.05
37,6.445314034476738,54.54638085441343,Bandarbeyla,bandarbeyla,SO,80.69,9.49,50.81,68.0,0.0,9.86
38,9.613776952046493,-160.90326124939506,Hilo,hilo,US,72.43,19.71,-155.08,73.0,1.0,3.36
40,50.4801930103026,108.41043771905697,Krasnyy Chikoy,krasnyy%20chikoy,RU,18.77,50.36,108.75,49.0,3.0,4.07
41,89.27482077176592,94.21258589879284,Khatanga,khatanga,RU,-5.72,71.98,102.47,95.0,77.0,4.72
42,-25.754715322870794,-2.0955484663414836,Jamestown,jamestown,AU,74.03,-33.21,138.6,27.0,72.0,11.65
43,-16.011843115879287,-86.2184670252279,Hualmay,hualmay,PE,68.81,-11.1,-77.61,90.0,97.0,8.79
